"","HUC_i","HUC_j","points_i","length_i","area_i","points_j","length_j","area_j","distance_ij"
"17865",21,403,1267,568204.43722,755611618.824,15441,2169803.70952,3282264497.41,245262.3336
"17868",152,393,4405,401341.364698,370814966.197,12219,2180114.27068,2583118256.45,245288.6633
"17877",53,392,4682,912665.799095,1487622720.29,9776,1243583.09089,2738416862.82,245382.276
"17878",54,179,7496,1743542.55719,3588231108.57,657,146939.477626,219121912.887,245382.4609
"17901",153,212,5038,635197.844155,774426440.254,12839,2820052.67618,3728259662.3,245563.9635
"17907",165,191,4422,1834982.23088,1619720716.8,12392,851620.791604,1335617285.69,245604.0193
"17916",22,393,673,819693.164624,781914542.069,12219,2180114.27068,2583118256.45,245681.8665
"17936",160,176,16718,2641165.17254,2206591411.82,7281,994620.80025,1612982961.02,245853.7097
"17938",27,174,13653,2093613.60365,1231105140.44,2170,673784.609775,733950779.508,245873.5432
"17941",52,172,3322,644082.819848,1222412983.43,10117,3003563.93521,3184286865.45,245903.2867
"17968",152,171,4405,401341.364698,370814966.197,8888,1865098.79141,1899080337.91,246058.748
"17994",22,33,673,819693.164624,781914542.069,13956,2689645.37194,1798344837.1,246258.9742
"18039",148,192,421,678967.659273,653775833.434,6804,254705.268791,468640572.712,246667.4761
"18048",155,195,17884,2205895.39613,2768996075.97,2964,964286.576005,1065870641.82,246733.8046
"18076",59,167,2618,312023.509273,498690546.22,1567,507664.349505,919263103.236,246996.8945
"18088",163,176,5807,2029951.87686,3143356248.5,7281,994620.80025,1612982961.02,247077.896
"18100",179,212,657,146939.477626,219121912.887,12839,2820052.67618,3728259662.3,247167.5532
"18108",153,194,5038,635197.844155,774426440.254,2623,483442.524083,707446827.694,247229.8774
"18120",26,177,3908,1385356.19187,944438320.092,13356,809238.423438,1071549764.86,247281.8755
"18121",157,393,6444,762387.267075,2013881876.76,12219,2180114.27068,2583118256.45,247286.2323
"18142",179,195,657,146939.477626,219121912.887,2964,964286.576005,1065870641.82,247439.3633
"18159",55,398,1864,258598.894036,986638704.338,18273,2865499.78312,2853081750.53,247633.2364
"18176",22,170,673,819693.164624,781914542.069,9507,921322.489428,902943239.364,247730.8837
"18181",42,54,8402,438182.504918,468727696.46,7496,1743542.55719,3588231108.57,247775.7039
"18192",51,174,4748,467952.886776,552135041.351,2170,673784.609775,733950779.508,247852.1179
"18212",59,165,2618,312023.509273,498690546.22,4422,1834982.23088,1619720716.8,247991.7282
"18220",203,398,4917,448622.339202,503930913.697,18273,2865499.78312,2853081750.53,248100.8344
"18225",158,195,1567,214287.566148,559532664.465,2964,964286.576005,1065870641.82,248118.874
"18228",166,196,7947,1973887.79158,2383726910.88,3489,711644.720915,931211320.671,248142.0956
"18256",149,167,3286,832440.708965,527986571.806,1567,507664.349505,919263103.236,248300.3923
"18270",54,149,7496,1743542.55719,3588231108.57,3286,832440.708965,527986571.806,248414.1471
"18276",160,196,16718,2641165.17254,2206591411.82,3489,711644.720915,931211320.671,248456.4503
"18280",24,33,11400,1641291.23625,1203390876.26,13956,2689645.37194,1798344837.1,248509.0489
"18317",59,191,2618,312023.509273,498690546.22,12392,851620.791604,1335617285.69,248893.6689
"18332",21,178,1267,568204.43722,755611618.824,6188,781232.492791,601116832.259,248966.3409
"18333",24,167,11400,1641291.23625,1203390876.26,1567,507664.349505,919263103.236,248977.1481
"18354",152,194,4405,401341.364698,370814966.197,2623,483442.524083,707446827.694,249151.061
"18365",23,191,489,553095.217362,722734396.623,12392,851620.791604,1335617285.69,249255.8014
"18370",32,403,4122,815584.334193,1103268621.73,15441,2169803.70952,3282264497.41,249286.1682
"18385",154,196,12648,996600.27872,1230838377.06,3489,711644.720915,931211320.671,249393.4826
"18412",153,170,5038,635197.844155,774426440.254,9507,921322.489428,902943239.364,249588.171
"18427",178,208,6188,781232.492791,601116832.259,9352,1548478.95706,1780963677.62,249691.5811
"18460",26,203,3908,1385356.19187,944438320.092,4917,448622.339202,503930913.697,249937.2096
"18468",29,403,17370,2752283.46207,1595089814.57,15441,2169803.70952,3282264497.41,250057.3826
"18479",151,392,22241,3147846.5546,2581405676.79,9776,1243583.09089,2738416862.82,250141.4368
"18496",33,159,13956,2689645.37194,1798344837.1,5153,282045.166749,188168169.193,250274.2806
"18501",211,398,22810,1003947.61376,1482326892.8,18273,2865499.78312,2853081750.53,250308.5837
